Port Type,Port ID,Phi (toroidal) [deg.],Theta (poloidal)[deg.],Major radius [m],Minor radius [m],Port Dia. [mm],Component Installed
A,24-25,36,0,0.91,0.19,94,B-Probe
A,28-29,72,0,0.91,0.19,94,HIDRA-MAT
A,32-33,108,0,0.91,0.19,94,6kW Ant.
A,36-37,144,0,0.91,0.19,94,15 kW Ant.
A,4-5,216,0,0.91,0.19,94,RLP
A,8-9,252,0,0.91,0.19,94,
A,12-13,288,0,0.91,0.19,94,
A,16-17,324,0,0.91,0.19,94,
B,21-22,9,22.5,0.895537111,0.19,91,TP North (1/3)
B,23-24,27,-22.5,0.895537111,0.19,91,TP North (2/3)
B,25-26,45,22.5,0.895537111,0.19,91,TP North (3/3)
B,27-28,63,-22.5,0.895537111,0.19,91,
B,29-30,81,22.5,0.895537111,0.19,91,
B,31-32,99,-22.5,0.895537111,0.19,91,Camera (1/3)
B,33-34,117,22.5,0.895537111,0.19,91,LP
B,35-36,135,-22.5,0.895537111,0.19,91,TP South (1/3)
B,37-38,153,22.5,0.895537111,0.19,91,TP South (2/3)
B,39-40,171,-22.5,0.895537111,0.19,91,TP South (3/3)
B,1-2,189,22.5,0.895537111,0.19,91,
B,3-4,207,-22.5,0.895537111,0.19,91,
B,5-6,225,22.5,0.895537111,0.19,91,MFC
B,7-8,243,-22.5,0.895537111,0.19,91,Camera (2/3)
B,9-10,261,22.5,0.895537111,0.19,91,
B,11-10,279,-22.5,0.895537111,0.19,91,
B,13-14,297,22.5,0.895537111,0.19,91,
B,15-16,315,-22.5,0.895537111,0.19,91,
B,17-18,333,22.5,0.895537111,0.19,91,
B,19-20,351,-22.5,0.895537111,0.19,91,Camera (3/3)
C,26-27,54,45,0.854350288,0.19,68,
C,26-27,54,-45,0.854350288,0.19,68,
C,34-35,126,45,0.854350288,0.19,68,
C,34-35,126,-45,0.854350288,0.19,68,DC Cathode (1/2)
C,6-7,234,45,0.854350288,0.19,68,
C,6-7,234,-45,0.854350288,0.19,68,
C,14-15,306,45,0.854350288,0.19,68,
C,14-15,306,-45,0.854350288,0.19,68,
Z,22-23,18,40,0.865548444,0.19,67,
Z,22-23,18,-40,0.865548444,0.19,67,Wall Heater
Z,30-31,90,40,0.865548444,0.19,67,
Z,30-31,90,-40,0.865548444,0.19,67,
Z,38-39,162,40,0.865548444,0.19,67,
Z,38-39,162,-40,0.865548444,0.19,67,
Z,2-3,198,40,0.865548444,0.19,67,
Z,2-3,198,-40,0.865548444,0.19,67,
Z,10-11,270,40,0.865548444,0.19,67,
Z,10-11,270,-40,0.865548444,0.19,67,
Z,18-19,342,40,0.865548444,0.19,67,DC Cathode (2/2)
Z,18-19,342,-40,0.865548444,0.19,67,
D,21-22,9,-67.5,0.792709852,0.19,68,
D,23-24,27,67.5,0.792709852,0.19,68,
D,25-26,45,-67.5,0.792709852,0.19,68,
D,27-28,63,67.5,0.792709852,0.19,68,
D,29-30,81,-67.5,0.792709852,0.19,68,
D,31-32,99,67.5,0.792709852,0.19,68,
D,33-34,117,-67.5,0.792709852,0.19,68,
D,35-36,135,67.5,0.792709852,0.19,68,
D,37-38,153,-67.5,0.792709852,0.19,68,
D,39-40,171,67.5,0.792709852,0.19,68,
D,1-2,189,-67.5,0.792709852,0.19,68,
D,3-4,207,67.5,0.792709852,0.19,68,
D,5-6,225,-67.5,0.792709852,0.19,68,
D,7-8,243,67.5,0.792709852,0.19,68,
D,9-10,261,-67.5,0.792709852,0.19,68,
D,11-10,279,67.5,0.792709852,0.19,68,
D,13-14,297,-67.5,0.792709852,0.19,68,
D,15-16,315,67.5,0.792709852,0.19,68,
D,17-18,333,-67.5,0.792709852,0.19,68,
D,19-20,351,67.5,0.792709852,0.19,68,
E,24-25,36,90,0.72,0.19,52,Spectrometer
E,24-25,36,-90,0.72,0.19,52,
E,28-29,72,90,0.72,0.19,52,
E,28-29,72,-90,0.72,0.19,52,
E,32-33,108,90,0.72,0.19,52,
E,32-33,108,-90,0.72,0.19,52,
E,36-37,144,90,0.72,0.19,52,
E,36-37,144,-90,0.72,0.19,52,
E,4-5,216,90,0.72,0.19,52,
E,4-5,216,-90,0.72,0.19,52,
E,8-9,252,90,0.72,0.19,52,
E,8-9,252,-90,0.72,0.19,52,
E,12-13,288,90,0.72,0.19,52,
E,12-13,288,-90,0.72,0.19,52,
E,16-17,324,90,0.72,0.19,52,
E,16-17,324,-90,0.72,0.19,52,
F,23-24,27,-112.5,0.647290148,0.19,52,
F,25-26,45,112.5,0.647290148,0.19,52,
F,27-28,63,-112.5,0.647290148,0.19,52,
F,29-30,81,112.5,0.647290148,0.19,52,
F,31-32,99,-112.5,0.647290148,0.19,52,
F,33-34,117,112.5,0.647290148,0.19,52,
F,35-36,135,-112.5,0.647290148,0.19,52,
F,37-38,153,112.5,0.647290148,0.19,52,
F,3-4,207,-112.5,0.647290148,0.19,52,
F,5-6,225,112.5,0.647290148,0.19,52,
F,7-8,243,-112.5,0.647290148,0.19,52,
F,9-10,261,112.5,0.647290148,0.19,52,
F,11-10,279,-112.5,0.647290148,0.19,52,
F,13-14,297,112.5,0.647290148,0.19,52,
F,15-16,315,-112.5,0.647290148,0.19,52,
F,17-18,333,112.5,0.647290148,0.19,52,
