Distance from Outer Wall [m], Psi
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,0.000000000000000000e+00
1.000000000000000021e-02,0.000000000000000000e+00
1.499999999999999944e-02,0.000000000000000000e+00
2.000000000000000042e-02,0.000000000000000000e+00
2.500000000000000139e-02,0.000000000000000000e+00
2.999999999999999889e-02,0.000000000000000000e+00
3.500000000000000333e-02,0.000000000000000000e+00
4.000000000000000083e-02,0.000000000000000000e+00
4.499999999999999833e-02,0.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00
5.500000000000000028e-02,0.000000000000000000e+00
5.999999999999999778e-02,0.000000000000000000e+00
6.500000000000000222e-02,0.000000000000000000e+00
7.000000000000000666e-02,0.000000000000000000e+00
7.499999999999999722e-02,0.000000000000000000e+00
8.000000000000000167e-02,0.000000000000000000e+00
8.500000000000000611e-02,0.000000000000000000e+00
8.999999999999999667e-02,0.000000000000000000e+00
9.500000000000000111e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00
1.049999999999999961e-01,0.000000000000000000e+00
1.100000000000000006e-01,0.000000000000000000e+00
1.150000000000000050e-01,0.000000000000000000e+00
1.199999999999999956e-01,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.300000000000000044e-01,0.000000000000000000e+00
1.350000000000000089e-01,0.000000000000000000e+00
1.400000000000000133e-01,0.000000000000000000e+00
1.449999999999999900e-01,0.000000000000000000e+00
1.499999999999999944e-01,2.103569507221051657e-16
1.549999999999999989e-01,1.247251210134898147e-01
1.600000000000000033e-01,2.854974356580628481e-01
1.650000000000000078e-01,4.938822408185424284e-01
1.700000000000000122e-01,6.832013644016493581e-01
1.750000000000000167e-01,7.602704641511189854e-01
1.799999999999999933e-01,8.300799066928623571e-01
1.849999999999999978e-01,8.879000307006917891e-01
1.900000000000000022e-01,9.386600687902391105e-01
1.950000000000000067e-01,9.661867712178148215e-01
2.000000000000000111e-01,9.876837328237767499e-01
2.050000000000000155e-01,9.984264988645886740e-01
2.099999999999999922e-01,9.987392839671637157e-01
2.149999999999999967e-01,9.899812843867519252e-01
2.200000000000000011e-01,9.720077801156314923e-01
2.250000000000000056e-01,9.457361037686227156e-01
2.300000000000000100e-01,9.109355903412695854e-01
2.350000000000000144e-01,8.686358530233873054e-01
2.399999999999999911e-01,8.174541587133155041e-01
2.449999999999999956e-01,7.566560575751704043e-01
2.500000000000000000e-01,6.834975496690003371e-01
2.550000000000000044e-01,7.581738646191038544e-01
2.600000000000000089e-01,8.805883123892050968e-01
2.650000000000000133e-01,9.581285870316311737e-01
2.700000000000000178e-01,9.802368510625716347e-01
2.750000000000000222e-01,9.698058854062654444e-01
2.800000000000000266e-01,9.253430459417555376e-01
2.850000000000000311e-01,7.551467788042366402e-01
2.899999999999999800e-01,2.033775938422382468e-01
2.949999999999999845e-01,8.549552069499441465e-02
2.999999999999999889e-01,3.112397557542300949e-02
3.049999999999999933e-01,4.727793152470688875e-45
3.099999999999999978e-01,0.000000000000000000e+00
3.150000000000000022e-01,0.000000000000000000e+00
3.200000000000000067e-01,0.000000000000000000e+00
3.250000000000000111e-01,0.000000000000000000e+00
3.300000000000000155e-01,0.000000000000000000e+00
3.350000000000000200e-01,0.000000000000000000e+00
3.400000000000000244e-01,0.000000000000000000e+00
3.450000000000000289e-01,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00
3.549999999999999822e-01,0.000000000000000000e+00
3.599999999999999867e-01,0.000000000000000000e+00
3.649999999999999911e-01,0.000000000000000000e+00
3.699999999999999956e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
